T1,T2,CE-Word,IF,Word sim.,Hierarchy,Cite-Wang
32,287,0.004,0.000,0.000,0.190,1631.150
33,0,0.000,0.000,0.000,0.000,0.000
35,0,0.000,0.000,0.000,0.000,0.000
36,0,0.004,0.000,0.000,0.053,433.875
36,271,0.000,0.000,0.000,0.000,0.000
37,273,0.091,0.001,0.105,0.213,485.145
38,0,0.004,0.000,0.000,0.050,422.930
39,0,0.000,0.000,0.000,0.000,0.000
40,4,0.004,0.000,0.000,0.023,474.778
41,0,0.004,0.000,0.000,0.050,674.954
41,158,0.024,0.001,0.077,0.010,625.708
42,0,0.004,0.000,0.000,0.010,427.546
43,117,0.004,0.000,0.000,0.053,2105.442
43,222,0.004,0.000,0.000,0.000,3183.591
43,245,0.010,0.001,0.024,0.160,2311.467
43,287,0.222,0.000,0.077,0.010,3158.913
44,168,0.098,0.001,0.050,0.653,1577.284
46,0,0.000,0.000,0.000,0.000,0.000
46,7,0.004,0.000,0.000,0.400,216.325
46,60,0.058,0.001,0.050,0.533,190.443
46,251,0.004,0.000,0.000,0.163,239.871
47,260,0.004,0.000,0.000,0.213,5379.930
48,0,0.000,0.000,0.000,0.000,0.000
50,0,0.000,0.000,0.000,0.000,0.000
51,0,0.004,0.000,0.000,0.030,437.423
53,2,0.000,0.000,0.000,0.000,0.000
55,59,0.000,0.000,0.000,0.000,0.000
55,82,0.250,0.001,0.135,0.023,1709.615
56,186,0.000,0.001,0.024,0.110,883.927
56,226,0.154,0.001,0.077,0.057,468.987
56,243,0.032,0.001,0.024,0.747,621.833
57,0,0.000,0.000,0.000,0.000,0.000
58,92,0.013,0.000,0.024,0.023,954.949
59,55,0.000,0.000,0.000,0.000,0.000
59,73,0.178,0.001,0.105,0.560,1607.177
59,82,0.000,0.000,0.000,0.000,0.000
59,260,0.000,0.000,0.000,0.000,0.000
60,0,0.000,0.000,0.000,0.000,0.000
60,46,0.045,0.000,0.050,0.533,206.214
60,73,0.000,0.000,0.000,0.000,0.000
61,0,0.000,0.000,0.000,0.000,0.000
62,0,0.000,0.000,0.000,0.000,0.000
62,72,0.000,0.000,0.000,0.000,0.000
62,107,0.000,0.000,0.000,0.000,0.000
62,131,0.004,0.000,0.000,0.030,109.591
62,175,0.000,0.000,0.000,0.000,0.000
63,2,0.000,0.000,0.000,0.000,0.000
63,31,0.004,0.000,0.000,0.110,1090.947
65,0,0.000,0.000,0.000,0.000,0.000
65,1,0.473,0.000,0.077,0.267,662.578
65,2,0.000,0.000,0.000,0.000,0.000
65,237,0.098,0.002,0.200,0.560,523.477
66,0,0.004,0.000,0.000,0.030,466.016
66,73,0.000,0.000,0.000,0.000,0.000
66,247,0.004,0.000,0.000,0.693,856.748
67,128,0.004,0.000,0.000,0.037,1027.032
68,118,0.004,0.000,0.000,0.320,1060.397
69,0,0.000,0.000,0.000,0.000,0.000
69,74,0.004,0.000,0.000,0.533,370.153
69,262,0.020,0.000,0.024,0.050,369.546
70,266,0.100,0.001,0.050,0.350,594.952
71,0,0.000,0.000,0.000,0.000,0.000
71,110,0.004,0.000,0.000,0.150,425.129
72,0,0.004,0.000,0.000,0.053,446.908
72,62,0.000,0.000,0.000,0.000,0.000
72,107,0.000,0.000,0.000,0.000,0.000
72,131,0.004,0.000,0.000,0.010,147.255
72,175,0.000,0.000,0.000,0.000,0.000
72,249,0.000,0.000,0.000,0.000,0.000
73,0,0.000,0.000,0.000,0.000,0.000
73,59,0.072,0.000,0.105,0.560,2143.051
73,60,0.000,0.000,0.000,0.000,0.000
73,66,0.000,0.000,0.000,0.000,0.000
73,118,0.004,0.000,0.000,1.077,1272.711
73,191,0.004,0.000,0.000,0.190,697.239
74,0,0.004,0.000,0.000,0.017,533.261
74,69,0.004,0.000,0.000,0.533,419.779
75,188,0.007,0.001,0.024,0.400,694.195
75,271,0.000,0.000,0.000,0.000,0.000
76,0,0.004,0.000,0.000,0.010,444.122
77,252,0.004,0.000,0.000,0.950,1564.019
77,270,0.041,0.000,0.050,0.563,3029.753
78,0,0.985,0.000,0.024,0.330,418.780
78,87,0.890,0.001,0.077,1.083,506.994
79,0,0.000,0.000,0.000,0.000,0.000
80,202,0.004,0.000,0.000,1.613,1051.210
81,0,0.000,0.000,0.000,0.000,0.000
82,16,0.000,0.000,0.000,0.000,0.000
82,25,0.000,0.000,0.000,0.000,0.000
82,55,0.060,0.000,0.135,0.023,1831.756
82,59,0.000,0.000,0.000,0.000,0.000
82,119,0.000,0.000,0.000,0.000,0.000
82,172,0.000,0.000,0.000,0.000,0.000
82,210,0.051,0.001,0.050,0.240,2290.668
82,261,0.004,0.000,0.000,0.030,2281.911
82,271,0.000,0.000,0.000,0.000,0.000
84,0,0.000,0.000,0.000,0.000,0.000
85,0,0.000,0.000,0.000,0.000,0.000
85,179,0.004,0.000,0.000,1.050,512.165
85,191,0.175,0.001,0.024,0.000,524.033
86,286,0.004,0.000,0.000,0.083,445.179
87,78,0.061,0.000,0.077,1.083,359.740
87,140,0.001,0.001,0.024,0.600,601.834
87,176,0.004,0.000,0.000,0.057,347.116
